訂單編號,產品料號,目標數量,最早開始時間,交期,優先度,orderBomKey,已逾期天數
000001707561-1_0_0,ZUE1131124M,16,2022/2/11 17:28,2022/3/17 00:00,3,FTD0028011CF01SAISA_20220416_2_MTD0020301,33.27222222
000001707561-3_0_0,ZUE1131124M,16,2022/3/4 17:28,2022/4/7 00:00,3,FTD0020013CF01FORSA_20220507_2_MTD0020301,33.27222222
000001707561-4_0_0,ZUE1131124M,16,2022/3/4 17:28,2022/4/7 00:00,3,FTD0020013CF01FORSA_20220507_2_MTD0020301,33.27222222
000001710582-1_0_0,ZUE1131124M,16,2022/3/4 17:28,2022/4/7 00:00,3,FTD0020013CF01FORSA_20220507_2_MTD0020301,33.27222222
000001710582-1_0_1,ZUE1131124M,16,2022/3/4 17:28,2022/4/7 00:00,3,FTD0020013CF01FORSA_20220507_2_MTD0020301,33.27222222
000001710582-2_0_0,ZUE1131124M,16,2022/3/4 17:28,2022/4/7 00:00,3,FTD0020013CF01FORSA_20220507_2_MTD0020301,33.27222222
000001710583-2_0_0,ZUE1131124M,16,2022/2/28 17:28,2022/4/3 00:00,3,FTD0028011CF01FORSA_20220507_2_MTD0020301,33.27222222
000001710583-2_0_1,ZUE1131124M,16,2022/2/28 17:28,2022/4/3 00:00,3,FTD0028011CF01FORSA_20220507_2_MTD0020301,33.27222222
000001710583-3_0_0,ZUE1131124M,16,2022/2/28 17:28,2022/4/3 00:00,3,FTD0028011CF01FORSA_20220507_2_MTD0020301,33.27222222
000001704998-2_0_0,ZGS1149123M,12,2022/1/31 22:08,2022/3/6 00:00,3,FFR0042012FR01EDISA_20220319_2_MFR0038201,33.07777778
000001704998-4_0_0,ZGS1149123M,12,2022/2/7 22:08,2022/3/13 00:00,3,FFR0038012FR01EDISA_20220326_2_MFR0038201,33.07777778
000001704998-4_0_1,ZGS1149123M,12,2022/2/7 22:08,2022/3/13 00:00,3,FFR0038012FR01EDISA_20220326_2_MFR0038201,33.07777778
000001704998-5_0_0,ZGS1149123M,12,2022/2/7 22:08,2022/3/13 00:00,3,FFR0042012FR01EDISA_20220326_2_MFR0038201,33.07777778
000001704998-5_0_1,ZGS1149123M,12,2022/2/7 22:08,2022/3/13 00:00,3,FFR0042012FR01EDISA_20220326_2_MFR0038201,33.07777778
000001704998-6_0_0,ZGS1149123M,12,2022/2/14 22:08,2022/3/20 00:00,3,FFR0038012FR01EDISA_20220402_2_MFR0038201,33.07777778
000001710758-2_0_0,ZGS1149123M,12,2022/2/21 22:08,2022/3/27 00:00,3,FFR0038012FR01EDISA_20220409_2_MFR0038201,33.07777778
000001710758-2_0_1,ZGS1149123M,12,2022/2/21 22:08,2022/3/27 00:00,3,FFR0038012FR01EDISA_20220409_2_MFR0038201,33.07777778
000001710758-4_0_0,ZGS1149123M,12,2022/2/28 22:08,2022/4/3 00:00,3,FFR0038012FR01EDISA_20220416_2_MFR0038201,33.07777778
000001710758-5_0_0,ZGS1149123M,12,2022/3/7 22:08,2022/4/10 00:00,3,FFR0038012FR01EDISA_20220423_2_MFR0038201,33.07777778
000001710583-2_0_2,ZUE1131124M,15,2022/3/1 02:42,2022/4/3 00:00,3,FTD0028011CF01FORSA_20220507_2_MTD0020301,32.8875
000001694325-2_0_0,ZCM1154125M,12,2022/1/25 07:57,2022/2/27 00:00,4,FBL0045011BL01EDIAM_20220611_2_MBL0043401,32.66875
000001694325-3_0_0,ZCM1154125M,12,2022/2/1 07:57,2022/3/6 00:00,4,FBL0045011BL01EDIAM_20220618_2_MBL0043401,32.66875
000001694325-4_0_0,ZCM1154125M,12,2022/2/8 07:57,2022/3/13 00:00,4,FBL0045011BL01EDIAM_20220625_2_MBL0043401,32.66875
000001694325-5_0_0,ZCM1154125M,12,2022/2/22 07:57,2022/3/27 00:00,4,FBL0045011BL01EDIAM_20220709_2_MBL0043401,32.66875
000001707408-8_0_0,ZCM1138122M,12,2022/1/17 09:29,2022/2/19 00:00,3,FBL0027011BL01EDIAM_20220604_2_MBL0027101,32.60486111
000001710353-2_0_0,ZCM1138122M,12,2022/1/17 09:29,2022/2/19 00:00,3,FBL0029011BL01EDIAM_20220604_2_MBL0027101,32.60486111
000001710353-2_0_1,ZCM1138122M,12,2022/1/17 09:29,2022/2/19 00:00,3,FBL0029011BL01EDIAM_20220604_2_MBL0027101,32.60486111
000001710353-3_0_0,ZCM1138122M,12,2022/1/24 09:29,2022/2/26 00:00,3,FBL0027011BL01EDIAM_20220611_2_MBL0027101,32.60486111
000001710353-5_0_0,ZCM1138122M,12,2022/1/24 09:29,2022/2/26 00:00,3,FBL0028011BL01EDIAM_20220611_2_MBL0027101,32.60486111
000001704998-1_0_0,ZGS1149123M,11,2022/1/25 10:01,2022/2/27 00:00,3,FFR0042012FR01EDISA_20220312_2_MFR0038201,32.58263889
000001710758-1_0_0,ZGS1149123M,11,2022/2/15 10:01,2022/3/20 00:00,3,FFR0038012FR01EDISA_20220402_2_MFR0038201,32.58263889
000001710758-4_0_1,ZGS1149123M,11,2022/3/1 10:01,2022/4/3 00:00,3,FFR0038012FR01EDISA_20220416_2_MFR0038201,32.58263889
000001710758-5_0_1,ZGS1149123M,11,2022/3/8 10:01,2022/4/10 00:00,3,FFR0038012FR01EDISA_20220423_2_MFR0038201,32.58263889
000001704991-1_0_0,ZGS1148123M,12,2022/2/8 10:07,2022/3/13 00:00,3,FFR0037012FR01EDISA_20220326_2_MFR0037201,32.57847222
000001704991-1_0_1,ZGS1148123M,12,2022/2/8 10:07,2022/3/13 00:00,3,FFR0037012FR01EDISA_20220326_2_MFR0037201,32.57847222
000001704991-2_0_0,ZGS1148123M,12,2022/2/8 10:07,2022/3/13 00:00,3,FFR0041012FR01EDISA_20220326_2_MFR0037201,32.57847222
000001704991-3_0_0,ZGS1148123M,12,2022/2/8 10:07,2022/3/13 00:00,3,FFR0041012FR01EDISA_20220326_2_MFR0037201,32.57847222
000001704992-1_0_0,ZGS1148123M,12,2022/2/15 10:07,2022/3/20 00:00,3,FFR0037012FR01EDISA_20220402_2_MFR0037201,32.57847222
000001704992-1_0_1,ZGS1148123M,12,2022/2/15 10:07,2022/3/20 00:00,3,FFR0037012FR01EDISA_20220402_2_MFR0037201,32.57847222
000001704992-2_0_0,ZGS1148123M,12,2022/2/22 10:07,2022/3/27 00:00,3,FFR0037012FR01EDISA_20220409_2_MFR0037201,32.57847222
000001711318-1_0_0,ZGS1148123M,12,2022/3/1 10:07,2022/4/3 00:00,4,FFR0037012FR01EDISA_20220416_2_MFR0037201,32.57847222
000001711322-1_0_0,ZGS1148123M,12,2022/3/1 10:07,2022/4/3 00:00,4,FFR0037012FR01EDISA_20220416_2_MFR0037201,32.57847222
000001707607-3_0_0,ZKB1335125M,12,2022/1/15 17:01,2022/2/17 00:00,4,FJA0224014JA03EDIAM_20220604_2_MJA0224401,32.29097222
000001709790-3_0_0,ZKB1311125M,12,2022/1/21 18:34,2022/2/23 00:00,4,FJA0200014JA03EDIAM_20220611_2_MJA0200401,32.22638889
000001709790-4_0_0,ZKB1311125M,12,2022/1/21 18:34,2022/2/23 00:00,4,FJA0221014JA03EDIAM_20220611_2_MJA0200401,32.22638889
000001709790-4_0_1,ZKB1311125M,12,2022/1/21 18:34,2022/2/23 00:00,4,FJA0221014JA03EDIAM_20220611_2_MJA0200401,32.22638889
000001683580-2_0_0,ZSS1142122M,12,2022/1/15 20:54,2022/2/17 00:00,4,FRR0031011RR01EDIAB_20220604_2_MRR0031101,32.12916667
000001683580-2_0_1,ZSS1142122M,12,2022/1/15 20:54,2022/2/17 00:00,4,FRR0031011RR01EDIAB_20220604_2_MRR0031101,32.12916667
